manufacturer_id,name,country,founded_year,number_of_employees,annual_revenue
1,Zeta Motors 1,Japan,1951,46258,87.52
2,Gamma Motors 2,India,1947,43799,47.45
3,Theta Motors 3,Japan,1964,47972,41.22
4,Gamma Motors 4,Japan,1960,2997,139.39
5,Alpha Motors 5,Germany,1903,28648,40.39
6,Alpha Motors 6,Japan,2022,44927,144.95
7,Eta Motors 7,Japan,1943,23324,146.47
8,Zeta Motors 8,Germany,2004,49470,110.27
9,Kappa Motors 9,India,1923,49672,77.63
10,Iota Motors 10,UK,1998,21197,33.36
11,Iota Motors 11,Brazil,1964,47575,94.37
12,Kappa Motors 12,UK,1969,44392,52.47
13,Beta Motors 13,USA,1942,48335,59.86
14,Eta Motors 14,Japan,2000,23912,128.55
15,Theta Motors 15,Brazil,1996,38760,40.44
16,Zeta Motors 16,France,1903,39785,94.16
17,Gamma Motors 17,Brazil,1977,13790,102.65
18,Kappa Motors 18,China,1996,32817,11.49
19,Beta Motors 19,Italy,1919,37238,69.92
20,Eta Motors 20,Italy,1982,24578,139.28
21,Iota Motors 21,UK,1904,35478,124.41
22,Zeta Motors 22,USA,1957,31466,26.22
23,Zeta Motors 23,Brazil,2003,37040,57.19
24,Iota Motors 24,South Korea,1996,43036,72.7
25,Eta Motors 25,USA,1994,46103,139.01
26,Delta Motors 26,India,1969,6008,126.74
27,Iota Motors 27,Italy,1900,38843,73.92
28,Alpha Motors 28,Italy,1963,15954,21.03
29,Gamma Motors 29,USA,1930,49487,119.57
30,Iota Motors 30,Germany,2022,26604,93.18
31,Kappa Motors 31,USA,1917,16593,76.08
32,Epsilon Motors 32,Japan,1904,36242,15.19
33,Zeta Motors 33,Japan,2009,802,7.65
34,Epsilon Motors 34,USA,1946,7651,59.94
35,Delta Motors 35,Italy,1922,29160,127.61
36,Kappa Motors 36,India,1968,5663,83.43
37,Beta Motors 37,France,1925,11170,16.73
38,Alpha Motors 38,India,1925,40364,86.44
39,Theta Motors 39,China,1912,11831,39.02
40,Epsilon Motors 40,Italy,1949,7875,52.73
41,Theta Motors 41,Germany,1955,36465,6.82
42,Theta Motors 42,USA,1988,39639,126.81
43,Alpha Motors 43,USA,1904,25575,111.55
44,Beta Motors 44,India,1993,19781,86.39
45,Epsilon Motors 45,Italy,1992,42788,97.37
46,Beta Motors 46,USA,1904,8877,30.75
47,Alpha Motors 47,Japan,1900,3495,69.93
48,Delta Motors 48,Japan,1939,2164,37.91
49,Zeta Motors 49,USA,1927,34101,136.65
50,Kappa Motors 50,France,2004,35803,124.93
51,Epsilon Motors 51,Japan,1994,38961,1.19
52,Zeta Motors 52,South Korea,1983,5691,108.34
53,Beta Motors 53,South Korea,2012,13410,28.17
54,Alpha Motors 54,Germany,1946,21827,23.8
55,Epsilon Motors 55,Brazil,2019,11225,35.89
56,Delta Motors 56,Italy,1984,20505,103.65
57,Zeta Motors 57,Japan,1934,19495,53.11
58,Zeta Motors 58,Japan,2002,20746,146.47
59,Zeta Motors 59,South Korea,1978,20208,17.27
60,Iota Motors 60,India,2007,2187,148.83
61,Delta Motors 61,Italy,1979,8101,65.24
62,Alpha Motors 62,USA,1971,20176,15.81
63,Epsilon Motors 63,Japan,1932,17176,52.2
64,Epsilon Motors 64,USA,1930,31622,32.3
65,Beta Motors 65,France,1945,29312,15.64
66,Eta Motors 66,Brazil,1908,21640,131.79
67,Iota Motors 67,Japan,1923,40809,31.62
68,Iota Motors 68,France,1971,25018,39.34
69,Zeta Motors 69,India,1917,48209,22.88
70,Beta Motors 70,South Korea,1967,750,82.87
71,Iota Motors 71,Germany,1906,5829,34.46
72,Epsilon Motors 72,USA,1936,34432,145.01
73,Epsilon Motors 73,Italy,1963,37042,93.08
74,Alpha Motors 74,Japan,1990,31560,54.22
75,Epsilon Motors 75,China,1914,41948,12.63
76,Zeta Motors 76,Italy,1964,46633,142.56
77,Epsilon Motors 77,Italy,1960,36022,20.17
78,Eta Motors 78,France,1933,282,55.29
79,Epsilon Motors 79,Japan,1927,48829,33.44
80,Theta Motors 80,Italy,1969,7169,11.41
81,Alpha Motors 81,Germany,1971,38191,120.37
82,Zeta Motors 82,Italy,1929,39816,17.53
83,Epsilon Motors 83,South Korea,2019,31585,59.23
84,Alpha Motors 84,France,1917,42640,40.57
85,Gamma Motors 85,South Korea,1984,2522,72.01
86,Eta Motors 86,Italy,1922,32529,23.17
87,Eta Motors 87,France,1922,23230,49.15
88,Zeta Motors 88,UK,1993,31656,74.32
89,Eta Motors 89,Japan,1927,8504,78.64
90,Iota Motors 90,Germany,1957,4016,37.06
91,Epsilon Motors 91,China,2015,15130,110.17
92,Zeta Motors 92,USA,1965,29092,93.23
93,Eta Motors 93,Japan,1967,17238,38.66
94,Theta Motors 94,India,2017,49074,85.31
95,Iota Motors 95,India,2013,31738,74.45
96,Delta Motors 96,Brazil,1944,10961,82.67
97,Delta Motors 97,South Korea,1910,39532,51.65
98,Gamma Motors 98,Germany,1984,27847,137.92
99,Iota Motors 99,USA,2018,10955,149.0
100,Alpha Motors 100,Japan,1905,45754,148.53
101,Beta Motors 101,China,1946,19531,121.51
102,Theta Motors 102,Brazil,2006,37663,142.47
103,Epsilon Motors 103,Japan,2004,32973,6.65
104,Iota Motors 104,France,1973,14620,130.04
105,Epsilon Motors 105,Japan,1945,16357,74.99
106,Epsilon Motors 106,USA,1914,17612,47.39
107,Beta Motors 107,UK,1921,3913,28.95
108,Kappa Motors 108,Brazil,1989,19777,108.6
109,Iota Motors 109,USA,1964,33021,107.75
110,Alpha Motors 110,South Korea,2008,23609,87.49
111,Epsilon Motors 111,South Korea,1908,38863,114.25
112,Beta Motors 112,Brazil,1993,4171,38.76
113,Alpha Motors 113,South Korea,1901,47190,91.56
114,Eta Motors 114,Germany,1953,21747,62.81
115,Delta Motors 115,Japan,2016,4594,134.41
116,Zeta Motors 116,Japan,2010,20751,115.2
117,Alpha Motors 117,UK,1901,8054,6.34
118,Alpha Motors 118,Brazil,1931,31122,32.32
